servingCellID,ServingCellRSRP,Nbr1CellID,Nbr1RSRP,Nbr2CellID,Nbr2RSRP,ServCellRSRQ
0,1,41,4,41,8,33,27
1,1,49,4,38,2,35,32
2,1,36,5,34,4,33,24
3,1,41,4,37,5,37,27
4,4,49,1,45,2,38,30
5,4,40,1,43,3,30,23
6,4,45,1,39,5,37,29
7,4,39,1,37,5,34,26
8,4,36,1,35,7,35,24
9,4,52,1,41,7,36,32
10,4,47,1,37,7,37,31
11,4,46,7,39,1,31,31
12,4,40,7,38,5,33,27
13,7,34,4,37,8,35,18
14,7,38,4,32,8,32,29
15,4,38,8,33,7,33,27
16,1,51,4,40,2,36,32
17,1,39,5,35,4,32,28
18,1,42,4,39,5,35,27
19,4,51,1,47,2,38,30
20,4,44,5,38,1,38,29
21,4,43,1,37,7,33,29
22,4,40,7,38,1,32,27
23,4,52,1,43,7,37,32
24,4,48,1,39,8,37,31
25,4,46,7,37,1,32,32
26,4,47,1,36,8,34,31
27,4,41,7,37,5,34,29
28,7,39,4,30,8,30,30
29,4,38,7,34,8,32,27
30,1,47,4,36,8,32,32
31,1,42,5,35,4,33,30
32,1,42,4,43,5,35,25
33,4,44,5,36,7,35,30
34,4,46,1,40,7,34,30
35,4,41,7,39,1,31,28
36,4,54,1,45,7,39,32
37,4,50,1,43,8,41,31
38,4,45,7,34,1,33,32
39,4,45,5,37,8,37,29
40,4,40,7,39,5,35,26
41,7,46,4,46,8,33,27
42,7,40,4,29,1,27,31
43,4,38,7,34,8,30,28
44,1,46,8,34,4,33,32
45,1,54,4,42,2,39,32
46,1,42,7,31,5,31,31
47,1,46,4,46,5,35,26
48,4,47,5,39,7,38,30
49,4,45,1,43,7,33,28
50,4,42,7,37,8,35,29
51,4,58,1,44,7,42,33
52,4,51,1,45,8,44,30
53,4,44,1,34,7,33,31
54,4,49,5,38,8,36,32
55,4,39,7,40,8,35,24
56,7,46,4,40,8,34,30
57,7,36,4,30,5,29,29
58,4,37,7,36,1,30,26
59,1,44,4,35,8,30,32
60,1,55,4,43,2,40,33
61,4,42,1,48,2,34,19
62,4,46,1,40,7,31,31
63,4,45,5,40,7,38,29
64,4,46,1,45,5,33,28
65,4,40,7,37,8,31,27
66,4,50,8,43,1,41,31
67,4,47,1,36,5,34,32
68,4,51,5,38,8,38,32
69,4,41,7,39,8,37,26
70,7,49,4,39,8,36,32
71,7,36,4,31,5,29,29
72,1,50,4,43,2,35,31
73,4,41,7,37,1,32,29
74,4,41,5,38,1,35,27
75,4,41,7,36,2,32,29
76,4,56,1,44,5,41,32
77,4,45,8,36,1,34,31
78,4,39,8,42,7,34,22
79,7,46,8,43,4,37,29
80,7,40,4,30,1,26,31
81,1,48,4,42,2,35,31
82,4,41,9,37,7,36,27
83,4,42,1,39,5,37,26
84,4,43,2,36,7,35,30
85,4,49,1,37,8,33,32
86,4,43,8,43,1,37,26
87,7,44,8,45,4,36,25
88,7,43,4,29,8,29,32
89,1,45,4,37,2,36,31
90,4,43,9,34,1,31,30
91,4,46,1,40,5,39,29
92,4,45,2,36,7,35,31
93,4,58,1,44,5,43,33
94,4,44,8,42,1,35,28
95,7,42,8,44,4,36,23
96,4,45,7,33,1,31,32
97,4,47,2,36,7,33,32
98,4,58,5,46,1,42,33
99,4,47,8,36,1,31,32
100,7,43,8,39,4,35,29
101,1,44,4,31,2,29,32
102,4,48,1,40,5,37,31
103,4,48,2,35,7,34,32
104,4,45,8,35,7,31,32
105,7,45,4,37,8,37,30
106,1,45,4,32,2,29,32
107,1,47,4,43,2,32,30
108,1,41,4,36,2,28,29
109,4,47,1,42,5,38,30
110,4,48,2,36,7,36,32
111,4,59,5,43,1,42,33
112,7,48,4,41,8,35,31
113,7,52,4,41,8,36,32
114,4,46,1,38,5,33,31
115,1,40,4,38,7,31,28
116,4,46,1,44,5,36,28
117,4,49,7,40,2,36,32
118,7,45,4,40,1,32,30
119,7,49,4,41,8,34,32
120,4,49,1,36,5,34,32
121,1,42,4,40,7,37,27
122,4,52,1,42,5,40,31
123,4,50,1,46,2,36,30
124,7,46,4,37,1,32,31
125,4,47,1,38,5,33,31
126,1,48,4,45,2,35,29
127,4,52,8,36,1,35,33
128,1,40,4,43,7,38,21
129,4,51,1,41,5,40,32
130,4,48,7,44,1,33,30
131,1,48,4,43,2,41,29
132,4,49,8,39,1,38,31
133,4,42,1,41,5,33,27
134,4,52,1,40,5,37,32
135,4,50,7,43,5,35,31
136,4,48,7,41,1,34,31
137,1,48,4,43,2,40,30
138,7,50,4,42,8,36,32
139,4,50,7,40,8,34,32
140,4,44,1,42,5,32,28
141,4,46,7,44,8,36,28
142,4,57,1,42,7,41,33
143,4,48,7,42,1,34,31
144,1,49,4,46,2,43,28
145,7,51,4,41,8,37,32
146,4,46,1,43,5,35,28
147,4,46,7,40,8,39,29
148,4,56,7,44,1,40,33
149,4,56,2,48,7,46,31
150,1,45,4,49,2,42,20
151,7,45,4,40,8,39,28
152,4,54,7,44,2,40,32
153,4,50,1,49,5,38,28
154,4,49,8,39,7,36,31
155,4,56,7,46,1,43,32
156,4,51,1,46,2,38,30
157,7,46,4,40,8,37,30
158,4,57,2,42,7,41,32
159,4,48,8,36,7,36,31
160,4,57,1,42,7,41,33
161,4,50,1,39,6,35,32
162,7,51,4,39,8,36,32
163,4,49,7,37,8,37,31
164,4,50,1,38,6,37,32
165,1,51,4,44,5,37,31
166,1,50,4,51,5,37,26
167,4,55,7,41,5,38,33
168,4,50,7,40,5,39,31
169,4,53,1,44,5,37,32
170,4,47,6,36,1,35,32
171,7,42,9,28,5,28,31
172,1,49,4,51,5,38,25
173,4,55,7,44,5,42,32
174,4,48,7,44,5,41,28
175,4,54,1,47,5,38,31
176,4,47,6,36,1,35,31
177,7,41,5,29,8,29,31
178,4,55,7,42,5,40,33
179,4,47,7,48,5,44,24
180,4,51,1,50,5,38,28
181,4,46,1,37,6,32,31
182,7,45,5,34,8,30,32
183,1,57,4,51,5,43,31
184,7,55,4,47,5,41,31
185,4,51,1,49,5,39,29
186,1,57,5,48,4,47,32
187,4,49,1,50,5,38,25
188,4,43,1,37,2,30,30
189,1,56,5,44,4,43,32
190,7,47,4,50,8,38,23
191,4,42,1,39,2,34,28
192,1,53,4,43,2,38,32
193,1,54,5,44,8,38,32
194,4,44,1,42,5,33,27
195,1,49,4,43,5,39,29
196,4,51,7,42,8,38,31
197,4,56,5,41,1,40,33
198,4,45,1,46,5,37,25
199,4,57,5,50,7,45,31
200,4,53,7,44,8,38,32
201,1,47,4,45,8,35,28
202,4,47,7,41,8,37,30
203,4,46,1,44,5,36,28
204,7,47,4,44,6,37,29
205,4,58,5,48,7,47,32
206,4,49,7,46,8,38,29
207,1,48,4,48,8,39,26
208,4,56,7,46,5,40,32
209,4,48,7,41,8,33,31
210,4,45,1,44,5,35,26
211,7,44,4,48,5,35,21
212,4,52,7,47,5,42,30
213,4,46,7,49,8,43,22
214,1,46,4,46,2,40,25
215,4,53,7,46,5,43,31
216,4,47,7,38,8,35,31
217,4,48,7,45,8,36,29
218,4,54,5,43,1,39,32
219,4,46,1,42,5,41,28
220,4,52,7,45,5,38,31
221,1,50,4,42,2,38,31
222,1,47,4,46,2,39,27
223,4,48,7,45,5,40,28
224,4,42,7,40,5,37,26
225,7,50,8,44,4,43,29
226,4,46,7,46,6,36,26
227,4,56,1,43,5,42,32
228,4,48,5,41,1,41,30
229,4,51,7,41,5,37,32
230,1,51,2,42,4,39,32
231,1,43,4,47,2,38,21
232,4,46,7,47,5,44,23
233,4,43,7,42,5,39,25
234,4,53,5,42,2,37,32
235,7,50,8,46,4,39,29
236,4,45,7,47,8,35,24
237,4,53,1,46,5,39,31
238,4,50,1,42,5,40,31
239,7,54,8,47,4,43,31
240,4,46,1,42,2,39,28
241,4,55,1,39,5,38,33
242,4,50,7,41,5,36,31
243,1,50,4,42,2,42,30
244,4,44,7,47,5,47,19
245,4,40,7,42,5,37,22
246,4,50,5,42,2,38,31
247,7,50,8,43,4,38,31
248,4,46,7,46,8,37,26
249,4,53,1,45,7,43,31
250,4,50,1,42,2,39,30
251,7,52,8,46,4,40,31
252,4,45,1,44,2,40,26
253,4,50,7,40,8,39,31
254,1,50,2,44,4,43,30
255,4,48,5,45,7,43,27
256,4,39,7,44,5,40,18
257,4,47,5,43,1,35,30
258,7,48,4,41,8,38,30
259,4,47,7,46,8,38,27
260,4,56,1,43,7,42,32
261,4,46,1,41,5,40,28
262,7,52,8,43,4,38,32
263,7,53,4,48,8,43,30
264,7,42,5,41,4,37,25
265,4,43,1,43,2,41,24
266,1,55,4,40,5,40,32
267,1,48,2,45,4,45,27
268,4,49,7,44,5,43,29
269,4,50,5,40,2,37,31
270,7,49,4,46,8,37,28
271,4,46,8,45,7,41,25
272,4,53,1,43,7,41,32
273,4,43,1,41,5,39,26
274,7,48,8,42,4,37,31
275,7,55,4,48,8,43,31
276,7,42,5,43,8,34,25
277,4,46,2,42,1,40,28
278,1,56,4,42,5,41,32
279,1,48,2,46,4,44,27
280,4,49,7,44,5,42,29
281,4,52,5,41,2,38,32
282,7,49,4,50,8,41,25
283,1,55,2,43,4,39,32
284,4,49,8,47,7,41,27
285,4,52,1,46,7,41,31
286,4,48,1,44,5,39,29
287,7,47,8,44,4,36,29
288,7,42,5,46,8,36,21
289,7,49,4,40,8,33,31
290,4,48,1,44,2,39,29
291,1,51,4,47,5,41,28
292,1,46,2,49,4,41,22
293,5,47,7,42,4,40,29
294,4,48,7,41,5,41,30
295,4,54,5,44,2,38,32
296,7,47,4,49,8,40,24
297,1,53,2,45,4,40,31
298,4,51,8,47,7,45,29
299,4,50,1,43,5,37,31
300,1,55,5,48,2,44,31
301,7,45,4,37,8,34,30
302,4,50,1,48,2,38,28
303,2,48,1,43,4,40,28
304,1,47,4,47,2,43,24
305,5,49,7,46,4,40,28
306,4,50,5,42,7,41,30
307,7,46,4,48,8,41,22
308,1,51,2,44,4,40,31
309,4,54,8,39,1,38,33
310,4,46,8,47,7,45,23
311,4,50,1,41,7,38,31
312,4,50,1,47,5,38,28
313,1,58,2,47,5,47,32
314,7,44,4,40,8,34,29
315,4,49,1,50,2,41,25
316,2,42,1,42,4,38,24
317,1,43,2,49,4,43,15
318,5,46,7,48,8,39,22
319,4,50,5,41,7,36,31
320,4,47,8,42,7,39,29
321,4,51,5,40,1,38,32
322,1,50,2,46,4,39,30
323,4,50,5,42,6,35,30
324,4,54,5,42,8,42,32
325,8,45,7,41,4,32,30
326,4,48,1,39,7,35,31
327,4,50,1,47,5,38,28
328,1,57,2,48,5,45,32
329,7,43,4,46,8,37,22
330,2,52,5,42,1,40,31
331,8,48,4,45,7,42,28
332,4,52,7,48,1,41,29
333,2,39,1,41,4,37,22
334,1,48,4,45,2,44,25
335,5,43,7,43,4,42,22
336,4,49,5,40,7,37,31
337,4,47,8,42,5,36,29
338,4,50,5,40,1,37,31
339,1,49,2,47,4,38,28
340,4,48,5,45,8,34,29
341,4,56,8,45,5,44,32
342,8,46,7,42,4,36,29
343,4,45,1,36,7,33,31
344,1,57,2,44,5,42,33
345,7,47,4,47,8,37,26
346,2,49,5,43,1,41,30
347,8,49,4,47,7,42,28
348,4,48,7,48,1,40,26
349,2,43,1,38,4,38,27
350,1,46,5,44,2,44,24
351,7,48,4,43,8,41,28
352,5,42,4,45,8,41,19
353,4,52,5,40,7,39,32
354,4,50,8,38,7,36,32
355,4,49,5,45,1,36,30
356,4,45,5,46,8,38,24
357,8,47,7,45,4,40,28
358,4,42,5,34,1,33,29
359,7,49,4,49,8,38,27
360,2,44,1,44,5,40,24
361,8,49,4,46,7,42,28
362,4,49,7,43,5,43,27
363,4,46,5,42,7,41,27
364,2,48,5,37,1,37,30
365,1,47,5,46,2,45,25
366,7,44,4,44,8,44,22
367,4,52,8,38,3,38,32
368,4,43,5,47,1,40,18
369,4,43,5,41,8,41,24
370,8,48,7,48,4,44,25
371,4,39,8,34,5,33,27
372,4,42,1,45,5,34,23
373,1,52,5,41,2,39,32
374,1,44,4,41,2,37,27
375,8,44,7,43,4,41,25
376,4,46,5,48,7,37,22
377,4,45,8,42,5,41,26
378,2,56,5,42,1,40,32
379,5,46,4,40,1,40,28
380,1,43,5,44,4,42,21
381,7,42,8,49,4,47,14
382,4,55,5,41,1,40,32
383,4,49,1,38,7,38,30
384,4,53,3,41,8,41,32
385,4,46,5,39,8,39,29
386,8,46,7,47,4,44,24
387,8,50,4,47,7,42,29
388,4,38,1,35,8,34,26
389,4,41,1,44,5,37,22
390,1,52,5,42,2,41,32
391,1,45,4,40,2,39,29
392,7,53,4,43,9,38,32
393,8,43,4,44,7,43,22
394,4,42,8,43,5,41,22
395,2,53,5,47,1,43,30
396,5,45,4,42,1,39,27
397,4,56,5,43,1,42,34
398,1,41,5,45,4,43,17
399,4,43,8,41,6,38,23
400,4,51,8,42,3,39,31
401,4,47,5,38,8,35,31
402,8,46,7,44,4,43,26
403,8,49,4,44,7,40,29
404,4,36,1,38,8,32,22
405,4,41,1,41,5,40,21
406,1,55,5,46,2,41,32
407,1,51,2,38,4,37,32
408,7,44,4,45,8,37,24
409,8,44,4,44,7,42,25
410,5,43,4,42,1,40,24
411,4,34,8,41,5,39,10
412,4,34,8,41,5,39,10
413,2,49,5,52,1,44,21
414,5,45,4,45,1,40,24
415,4,55,5,49,1,42,31
416,8,41,5,38,4,35,26
417,4,40,8,44,9,37,18
418,4,42,8,41,7,41,23
419,8,50,7,42,4,39,30
420,8,49,4,43,7,39,30
421,5,53,2,48,1,46,29
422,1,46,4,34,5,32,31
423,4,39,1,40,5,40,20
424,7,44,4,44,8,40,25
425,8,44,4,42,7,42,26
426,5,45,1,41,4,41,26
427,8,47,4,40,9,38,28
428,5,44,4,41,1,37,27
429,8,40,5,41,4,39,21
430,4,52,2,38,5,36,32
431,1,46,2,53,8,39,17
432,7,47,5,40,8,38,29
433,8,49,5,42,4,42,30
434,5,49,1,47,2,45,26
435,4,40,5,40,1,40,22
436,1,47,5,42,2,34,30
437,7,41,4,43,8,39,21
438,8,43,7,43,4,40,25
439,5,44,4,42,1,40,26
440,8,46,7,40,5,39,27
441,5,43,4,43,1,36,24
442,8,38,5,43,1,38,16
443,4,49,5,39,2,37,31
444,2,53,1,45,8,38,31
445,7,47,5,40,8,37,30
446,8,49,5,43,4,42,30
447,5,49,1,47,2,42,28
448,4,38,5,41,1,41,15
449,1,43,5,41,2,38,26
450,5,43,1,37,4,37,28
451,4,44,8,38,7,37,28
452,8,41,7,44,5,41,18
453,5,43,4,47,1,42,19
454,8,42,7,43,5,38,22
455,5,39,4,41,8,37,20
456,4,57,5,56,2,46,28
457,5,42,1,43,4,39,21
458,4,51,5,38,2,38,32
459,7,49,5,40,8,37,31
460,4,52,5,38,8,36,32
461,8,47,5,47,4,42,25
462,4,45,1,46,5,44,22
463,7,43,4,41,5,41,24
464,5,46,1,45,2,44,25
465,1,42,5,40,2,40,23
466,1,51,5,42,6,36,31
467,5,44,1,40,4,36,28
468,4,39,8,41,7,38,20
469,1,48,4,36,2,33,32
470,8,43,7,42,4,40,24
471,5,42,8,40,4,38,25
472,4,58,5,53,1,46,30
473,4,51,2,40,5,39,31
474,1,41,4,43,5,38,21
475,4,49,5,40,6,38,31
476,8,50,5,50,7,40,27
477,7,39,8,42,5,41,17
478,5,44,1,45,2,43,24
479,1,42,2,43,5,39,23
480,1,48,5,42,2,39,29
481,5,44,1,36,4,34,29
482,1,45,4,40,5,40,27
483,8,46,4,37,7,35,31
484,1,44,4,37,2,35,29
485,8,41,4,42,5,40,20
486,5,45,8,39,4,39,28
487,4,55,5,51,1,49,30
488,2,53,4,39,1,38,33
489,4,46,5,41,7,37,29
490,7,52,5,44,8,41,30
491,4,47,5,42,6,37,28
492,8,48,5,49,7,38,26
493,5,47,1,44,2,44,26
494,4,39,5,38,2,38,21
495,8,46,4,41,5,39,28
496,1,40,2,49,5,37,12
497,1,45,2,44,5,40,25
498,5,44,7,37,8,37,27
499,1,41,5,41,2,39,21
500,8,48,4,37,5,34,32
501,1,44,4,38,2,35,30
502,8,39,5,49,2,41,9
503,5,46,4,41,8,39,29
504,4,55,5,57,1,53,23
505,2,52,4,41,1,37,32
506,4,46,5,46,7,37,25
507,5,49,4,44,8,34,30
508,7,46,8,42,5,41,26
509,5,49,2,40,4,39,30
510,4,45,5,48,1,36,22
511,8,47,5,45,4,38,28
512,5,49,2,45,1,43,29
513,4,39,2,41,5,40,18
514,8,45,5,42,6,37,27
515,1,42,2,45,5,44,19
516,5,44,8,38,7,38,28
517,8,46,5,37,4,35,31
518,5,44,2,42,4,37,26
519,1,42,2,42,4,37,25
520,5,46,4,40,8,40,28
521,2,51,4,43,5,39,31
522,4,45,5,53,7,38,16
523,5,44,4,45,8,37,24
524,5,62,4,56,1,50,31
525,1,41,5,45,2,45,16
526,7,42,8,47,4,38,16
527,5,52,4,40,8,39,31
528,8,48,5,46,4,38,28
529,5,52,2,45,1,41,31
530,4,39,5,42,2,39,17
531,8,47,5,41,7,39,29
532,5,44,8,42,4,37,26
533,5,44,2,43,1,40,26
534,5,55,4,43,8,40,32
535,5,42,2,43,4,38,23
536,1,43,2,44,4,40,24
537,5,51,4,38,2,35,32
538,5,42,4,40,3,37,25
539,8,49,7,38,4,38,31
540,5,60,4,54,1,47,31
541,5,54,4,42,8,40,32
542,8,47,5,47,7,34,26
543,4,45,5,44,8,40,26
544,5,50,4,44,2,41,30
545,8,49,5,41,4,38,31
546,5,44,8,42,9,38,26
547,5,44,2,45,1,39,25
548,5,56,8,43,4,42,32
549,5,44,2,43,4,38,25
550,1,47,2,49,4,44,23
551,2,55,4,43,5,38,32
552,5,45,4,40,3,38,28
553,8,48,7,38,5,35,31
554,5,60,4,55,1,44,30
555,5,56,4,44,2,43,32
556,8,54,7,49,4,42,30
557,8,48,5,47,7,36,27
558,4,47,5,43,8,40,27
559,5,48,4,46,2,42,27
560,8,49,4,40,5,40,30
561,5,47,8,40,7,38,29
562,5,47,2,48,1,38,25
563,5,56,7,42,8,40,32
564,5,41,2,42,7,41,21
565,1,46,2,49,4,44,23
566,2,50,1,41,5,40,31
567,5,48,4,39,3,37,31
568,8,46,6,38,5,37,29
569,5,57,4,45,2,43,32
570,8,53,7,44,5,44,30
571,8,50,5,44,7,36,30
572,4,45,5,45,8,38,24
573,5,48,4,42,2,41,29
574,8,49,5,41,4,41,30
575,2,49,5,46,1,39,29
576,5,45,8,38,4,37,29
577,5,53,8,42,7,40,31
578,5,50,4,45,8,38,30
579,5,41,7,45,2,43,17
580,2,49,5,45,1,43,28
581,2,51,4,45,1,43,30
582,5,52,2,40,3,39,31
583,8,50,9,38,6,36,31
584,5,54,4,47,2,44,30
585,7,48,2,44,5,43,28
586,5,50,4,40,8,38,31
587,8,49,7,36,3,36,31
588,8,52,4,42,5,39,32
589,5,45,2,42,1,42,26
590,8,50,4,40,7,37,31
591,2,47,5,47,1,40,26
592,5,46,8,37,4,36,30
593,5,54,8,44,2,39,32
594,5,46,4,47,8,44,23
595,2,47,5,42,1,40,29
596,2,52,1,41,4,40,32
597,5,52,2,42,3,39,31
598,8,51,9,36,5,35,32
599,5,57,4,46,8,44,32
600,7,52,2,45,5,42,30
601,5,51,8,38,4,37,32
602,8,46,3,38,7,37,30
603,8,54,4,43,7,40,32
604,5,40,1,40,2,39,20
605,8,52,7,40,5,37,32
606,2,46,5,48,1,42,23
607,5,45,4,39,9,36,29
608,5,46,8,47,4,46,21
609,2,41,5,44,1,41,19
610,2,52,4,38,1,38,32
611,7,52,2,44,5,44,30
612,8,43,7,36,2,36,28
613,5,37,2,42,1,39,16
614,2,44,5,47,1,41,22
615,2,39,5,46,1,43,13
616,5,37,2,42,1,39,16
617,5,45,4,41,8,37,28
618,5,51,8,40,2,39,32
619,5,48,8,48,4,44,25
620,5,47,1,44,2,39,29
621,2,43,5,39,1,38,25
622,2,53,5,40,4,37,32
623,5,57,6,43,2,42,33
624,5,56,8,43,2,41,32
625,7,50,5,45,2,41,29
626,8,46,7,36,5,33,31
627,5,49,4,41,8,38,30
628,5,45,2,41,8,40,27
629,5,52,8,49,4,47,28
630,5,48,2,46,1,38,28
631,5,47,1,46,2,42,26
632,2,45,6,43,5,42,25
633,8,51,9,41,5,38,31
634,7,47,2,41,5,40,28
635,8,49,5,36,7,35,32
636,5,46,8,42,4,37,28
637,5,51,2,41,8,41,31
638,5,58,4,47,8,45,32
639,5,49,2,46,1,36,29
640,5,46,2,47,1,45,22
641,2,44,5,42,6,39,25
642,5,50,2,46,4,36,29
643,8,49,5,46,9,36,28
644,5,52,8,46,6,37,31
645,7,37,5,41,2,40,16
646,8,54,5,42,7,39,33
647,8,53,5,49,9,43,29
648,5,47,8,42,7,40,28
649,5,54,8,43,2,40,32
650,5,50,2,45,3,37,30
651,5,43,2,48,3,42,17
